method,drop_fraction,seed,round,test_accuracy,test_loss
fedavg_drop,0.9,0,0,0.026752767527675275,3.717174929231678
fedavg_drop,0.9,0,10,0.39206642066420666,6.50891867375966
fedavg_drop,0.9,0,20,0.4317343173431734,8.122149308079386
fedavg_drop,0.9,0,30,0.1503690036900369,6.886748185278656
fedavg_drop,0.9,0,40,0.4225092250922509,3.5601353028696447
fedavg_drop,0.9,0,50,0.470479704797048,3.862275542929443
fedavg_drop,0.9,0,60,0.49538745387453875,3.680619308913063
fedavg_drop,0.9,0,70,0.21125461254612546,5.023743748332262
fedavg_drop,0.9,0,80,0.20387453874538744,4.575230567323353
fedavg_drop,0.9,0,90,0.518450184501845,4.987987624925496
fedavg_drop,0.9,0,100,0.5359778597785978,2.730104960325924
fedavg_drop,0.9,0,110,0.5488929889298892,1.84896274939757
fedavg_drop,0.9,0,120,0.6826568265682657,0.9878049290232126
fedavg_drop,0.9,0,130,0.5055350553505535,10.131547323347194
fedavg_drop,0.9,0,140,0.6826568265682657,0.9176560900438173
fedavg_drop,0.9,0,150,0.5498154981549815,2.988948433341551
fedavg_drop,0.9,0,160,0.7029520295202952,0.8263515711038061
fedavg_drop,0.9,0,170,0.5876383763837638,1.2508397463472183
fedavg_drop,0.9,0,180,0.5498154981549815,7.092483284602282
fedavg_drop,0.9,0,190,0.5821033210332104,3.034887828314703
fedavg_drop,0.9,0,200,0.5857933579335793,3.8465086673143216
fedprox_mu0,0.9,0,0,0.026752767527675275,3.717174929231678
fedprox_mu0,0.9,0,10,0.5867158671586716,1.3580348490542475
fedprox_mu0,0.9,0,20,0.4446494464944649,1.9788396790259406
fedprox_mu0,0.9,0,30,0.5968634686346863,1.420166093014774
fedprox_mu0,0.9,0,40,0.6190036900369004,1.5345776392714545
fedprox_mu0,0.9,0,50,0.5987084870848709,1.6191803647146144
fedprox_mu0,0.9,0,60,0.6153136531365314,1.459387289296102
fedprox_mu0,0.9,0,70,0.6180811808118081,1.2758593592327487
fedprox_mu0,0.9,0,80,0.6245387453874539,1.2032670790043654
fedprox_mu0,0.9,0,90,0.6107011070110702,1.194610864378108
fedprox_mu0,0.9,0,100,0.6614391143911439,1.0520925814605038
fedprox_mu0,0.9,0,110,0.6328413284132841,1.1410659687451505
fedprox_mu0,0.9,0,120,0.6595940959409594,1.067912052907404
fedprox_mu0,0.9,0,130,0.6079335793357934,1.1698852686450418
fedprox_mu0,0.9,0,140,0.6780442804428044,0.9671948949088043
fedprox_mu0,0.9,0,150,0.6798892988929889,0.9334046655093602
fedprox_mu0,0.9,0,160,0.6771217712177122,0.9656421192572052
fedprox_mu0,0.9,0,170,0.6789667896678967,0.916184662113732
fedprox_mu0,0.9,0,180,0.5691881918819188,1.4028585714612616
fedprox_mu0,0.9,0,190,0.6928044280442804,0.900698178275808
fedprox_mu0,0.9,0,200,0.6900369003690037,0.9027967582957714
fedprox_mu1,0.9,0,0,0.026752767527675275,3.717174929231678
fedprox_mu1,0.9,0,10,0.5387453874538746,1.248827047528688
fedprox_mu1,0.9,0,20,0.4621771217712177,1.5597127550002057
fedprox_mu1,0.9,0,30,0.507380073800738,1.1389248999252952
fedprox_mu1,0.9,0,40,0.6217712177121771,0.9488546185535839
fedprox_mu1,0.9,0,50,0.5931734317343174,0.9509314181152295
fedprox_mu1,0.9,0,60,0.6568265682656826,0.861323594314368
fedprox_mu1,0.9,0,70,0.6291512915129152,0.8336079276226077
fedprox_mu1,0.9,0,80,0.5950184501845018,0.9335528321799472
fedprox_mu1,0.9,0,90,0.705719557195572,0.7242155649620332
fedprox_mu1,0.9,0,100,0.7038745387453874,0.7135332565621364
fedprox_mu1,0.9,0,110,0.6383763837638377,0.7736092127623608
fedprox_mu1,0.9,0,120,0.6374538745387454,0.7616376393503477
fedprox_mu1,0.9,0,130,0.6116236162361623,0.8320971691630856
fedprox_mu1,0.9,0,140,0.6522140221402214,0.7451844757182394
fedprox_mu1,0.9,0,150,0.6365313653136532,0.7959066494056002
fedprox_mu1,0.9,0,160,0.6863468634686347,0.6912702482053181
fedprox_mu1,0.9,0,170,0.7029520295202952,0.664796874997471
fedprox_mu1,0.9,0,180,0.6171586715867159,0.83859620038346
fedprox_mu1,0.9,0,190,0.6300738007380073,0.8119569403443346
fedprox_mu1,0.9,0,200,0.7195571955719557,0.6382051371178167
