method,drop_fraction,n_seeds,accuracy_mean,accuracy_sd,loss_mean,loss_sd
fedavg_drop,0.0,1,0.6162361623616236,0.0,1.6198679612085658,0.0
fedavg_drop,0.5,1,0.6337638376383764,0.0,1.3424421618417264,0.0
fedavg_drop,0.9,1,0.43634686346863466,0.0,3.8875377118654626,0.0
fedprox_mu0,0.0,1,0.6162361623616236,0.0,1.6198679612085658,0.0
fedprox_mu0,0.5,1,0.5996309963099631,0.0,1.6147737405128777,0.0
fedprox_mu0,0.9,1,0.5913284132841329,0.0,1.5655409458204204,0.0
fedprox_mu1,0.0,1,0.5212177121771218,0.0,1.077291343850436,0.0
fedprox_mu1,0.5,1,0.5452029520295203,0.0,1.0835760121379472,0.0
fedprox_mu1,0.9,1,0.5175276752767528,0.0,1.123347093922248,0.0
